NOME,IDADE,ESTADO CIVIL,CIDADE,FIANLIDADE,TELEFONE,EMAIL
Clarissa Neves Monteiro,43,Casada,Ipatinga,Montar um Negocio,(31) 98484-5577,clarissa.monteiro@yahoo.com
Igor Fernandes Rocha,27,Solteiro,Alfenas,Morar,(35) 99090-3344,igor.rocha@gmail.com
Roberta Luz Santana,52,Casada,Lavras,Investir,(35) 99888-4455,roberta.santana@hotmail.com
Erico Goncalves Barros,60,Casado,Juiz de Fora,Montar um Negocio,(32) 99666-7788,erico.barros@live.com
Paulo Henrique Sabino,39,Casado,Contagem,Morar,(31) 99555-0022,paulo.sabino@icloud.com
Jessica Milena Duarte,31,Solteira,Diamantina,Investir,(38) 98444-9988,jessica.duarte@gmail.com
Leticia Nogueira Lopes,28,Solteira,Sao Joao del-Rei,Montar um Negocio,(32) 99112-3344,leticia.lopes@yahoo.com
Andreia Torres da Luz,67,Viuva,Passos,Morar,(35) 99789-5566,andreia.luz@outlook.com
Hugo Miranda Figueiredo,47,Casado,Itabira,Investir,(31) 98777-1144,hugo.figueiredo@hotmail.com
Marcio Souza Carvalho,53,Casado,Santa Luzia,Investir,(31) 98844-5566,marcio.carvalho@gmail.com
Daniela Moura Andrade,41,Casada,Juiz de Fora,Morar,(32) 98433-7788,daniela.andrade@outlook.com
Rita Oliveira Duarte,37,Solteira,Uberlandia,Montar um Negocio,(34) 99778-6655,rita.duarte@hotmail.com
Fabio Lima Bastos,45,Divorciado,Pocos de Caldas,Investir,(35) 99665-4433,fabio.bastos@yahoo.com
Tatiane Silva Teixeira,29,Solteira,Divinopolis,Morar,(37) 98888-2233,tatiane.teixeira@icloud.com
Vitor Machado Almeida,34,Casado,Sao Paulo,Montar um Negocio,(11) 98512-3344,vitor.almeida@outlook.com
Isadora Ribeiro Faria,30,Solteira,Belo Horizonte,Investir,(31) 98123-4567,isadora.faria@gmail.com
Fernando Costa Moura,56,Casado,Itabira,Morar,(31) 99789-1122,fernando.moura@hotmail.com
Milena Tavares Rocha,33,Casada,Lavras,Montar um Negocio,(35) 98231-7890,milena.rocha@live.com
Luciano Pereira Nunes,48,Divorciado,Contagem,Investir,(31) 98654-3298,luciano.nunes@yahoo.com
Alessandra Lopes Ferreira,40,Casada,Araxa,Morar,(34) 99546-8721,alessandra.ferreira@icloud.com
Edson Brito Machado,61,Viuvo,Uberaba,Investir,(34) 99878-6643,edson.machado@outlook.com
Bianca Mendes Siqueira,27,Solteira,Pouso Alegre,Montar um Negocio,(35) 99321-4433,bianca.siqueira@gmail.com
Ruan Ribeiro Castro,35,Solteiro,Ibirite,Morar,(31) 98145-8974,ruan.castro@hotmail.com
Elaine Diniz Barbosa,43,Casada,Santa Luzia,Investir,(31) 99009-1233,elaine.barbosa@yahoo.com
Edgar Martins Leite,52,Casado,Patos de Minas,Montar um Negocio,(34) 98777-6655,edgar.leite@outlook.com
Marta Neves Alencar,36,Casada,Teofilo Otoni,Morar,(33) 99888-1122,marta.alencar@icloud.com
Tiago Souza Paiva,39,Divorciado,Ipatinga,Investir,(31) 99555-3344,tiago.paiva@gmail.com
Angela Monteiro Lacerda,50,Casada,Pocos de Caldas,Montar um Negocio,(35) 98765-7788,angela.lacerda@outlook.com
Jefferson Assis Ramos,44,Casado,Uberlandia,Morar,(34) 99333-4444,jefferson.ramos@yahoo.com
Julio Fernandes Camargo,38,Solteiro,Sete Lagoas,Investir,(31) 98666-8899,julio.camargo@live.com
Carla Teles Pimentel,31,Solteira,Divinopolis,Montar um Negocio,(37) 98484-5566,carla.pimentel@gmail.com
Sandro Duarte Souza,55,Casado,Varginha,Morar,(35) 99777-9988,sandro.souza@outlook.com
Denise Rocha Lima,40,Casada,Montes Claros,Investir,(38) 99099-7755,denise.lima@hotmail.com
Rogerio Leal Borges,49,Divorciado,Ribeirao das Neves,Montar um Negocio,(31) 98787-4455,rogerio.borges@yahoo.com
Katia Silveira Lopes,33,Solteira,Barbacena,Morar,(32) 98484-8899,katia.lopes@gmail.com
Diego Martins Andrade,46,Casado,Belo Horizonte,Investir,(31) 99696-6677,diego.andrade@outlook.com
Simone Vieira Santos,37,Casada,Alfenas,Montar um Negocio,(35) 98989-1122,simone.santos@hotmail.com
Renan Figueiredo Costa,42,Casado,Contagem,Morar,(31) 98333-5566,renan.costa@icloud.com
Glaucia Almeida Rocha,28,Solteira,Itabira,Investir,(31) 99112-7788,glaucia.rocha@yahoo.com
Alex Mendes Pires,34,Casado,Governador Valadares,Montar um Negocio,(33) 98484-3311,alex.pires@live.com
Viviane Luz Ferreira,31,Solteira,Juiz de Fora,Morar,(32) 99888-4411,viviane.ferreira@gmail.com
Guilherme Lopes Tavares,45,Casado,Uberaba,Investir,(34) 99777-6655,guilherme.tavares@outlook.com
Sandra Rocha Gomes,53,Casada,Pouso Alegre,Montar um Negocio,(35) 98654-8899,sandra.gomes@hotmail.com
Adriano Xavier Teixeira,36,Solteiro,Santa Luzia,Morar,(31) 99555-1122,adriano.teixeira@yahoo.com
Cristina Ribeiro Silva,39,Casada,Divinopolis,Investir,(37) 98484-6677,cristina.silva@icloud.com
Mauricio Camargo Brito,51,Casado,Sete Lagoas,Montar um Negocio,(31) 99666-7788,mauricio.brito@gmail.com
Leandro Costa Azevedo,44,Casado,Lavras,Investir,(35) 99876-1123,leandro.azevedo@gmail.com
Juliana Nunes Martins,32,Solteira,Uberlandia,Morar,(34) 99123-4567,juliana.martins@outlook.com
Rodrigo Lima Silva,38,Casado,Belo Horizonte,Montar um Negocio,(31) 98765-4432,rodrigo.silva@hotmail.com
Aline Mendes Rocha,27,Solteira,Barbacena,Investir,(32) 99234-8877,aline.rocha@yahoo.com
Rafael Camargo Oliveira,53,Divorciado,Teofilo Otoni,Morar,(33) 99678-3344,rafael.oliveira@icloud.com
Beatriz Duarte Almeida,35,Casada,Contagem,Montar um Negocio,(31) 98987-1122,beatriz.almeida@live.com
Marcos Souza Ribeiro,47,Casado,Sete Lagoas,Investir,(31) 98444-7788,marcos.ribeiro@gmail.com
Larissa Gomes Farias,29,Solteira,Uberaba,Morar,(34) 99090-6677,larissa.farias@outlook.com
Otavio Leal Monteiro,50,Casado,Divinopolis,Montar um Negocio,(37) 98787-2233,otavio.monteiro@hotmail.com
Vanessa Teixeira Machado,42,Casada,Varginha,Investir,(35) 99333-8899,vanessa.machado@yahoo.com
Carlos Augusto Teixeira,45,Casado,Lavras,Morar,(35) 98832-2132,carlos.teixeira@gmail.com
Elaine Cecilia Gatto,28,Solteira,Lavras,Investir,(14) 99740-4040,elaine.gatto@ufla.br
Constantino Almeida Carvalho,58,Casado,Lavras,Montar um Negocio,(35) 97878-9898,constantino.carvalho@hotmail.com
Sergio Sacani Mendes,43,Solteiro,Ijaci,Morar,(35) 99888-5432,sergio.sacani@outlook.com
Cassio Martins Goulart,60,Solteiro,Carrancas,Investir,(35) 97878-4435,cassio.martins@gmail.com
Vinicius Vieira Borges,23,Solteiro,Rio de Janeiro,Investir,(21) 97362-5721,vinicius.borges@gmail.com
Vilma Pereira Guimaraes,73,Divorciada,Montes Claros,Morar,(35) 94332-5636,vilma.pereira@outlook.com
Marcos Antonio Freitas,32,Divorciado,Luminarias,Morar,(35) 98373-5258,marcos.freitas@yahoo.com
Juan Villaba Casterito,46,Solteiro,Foz do Iguaçu,Investir,(45) 97253-3173,juan.villaba@hotmail.com
Bruno Vilela Gomes,39,Casado,Carrancas,Montar um Negocio,(35) 98136-3178,bruno.gomes@gmail.com
